,carat,cut,color,clarity,depth,table,price,x,y,z,price/carat
64,1.2,Premium,H,SI2,62.3,59,5846,6.82,6.75,4.23,4871.666667
65,0.53,Ideal,D,VVS2,62.2,56,2563,5.18,5.21,3.23,4835.849057
66,1.01,Premium,E,SI2,62.5,60,4355,6.39,6.42,4,4311.881188
67,1.01,Very Good,G,SI1,59.6,61,4588,6.47,6.52,3.87,4542.574257
68,1.01,Very Good,F,VVS1,62.1,58,9908,6.37,6.41,3.97,9809.90099
69,1.01,Very Good,D,SI2,62,59,4528,6.36,6.4,3.96,4483.168317
70,0.53,Very Good,E,VS2,62.3,56.7,1857,5.19,5.23,3.25,3503.773585
71,2.01,Very Good,F,SI2,63.3,59,11925,7.98,7.89,5.02,5932.835821
72,0.93,Premium,H,VS2,58.3,60,4387,6.45,6.37,3.74,4717.204301
73,0.32,Ideal,E,VS2,61.5,55,702,4.38,4.43,2.71,2193.75
74,1.51,Good,J,VS2,64,58,7062,7.27,7.24,4.64,4676.821192
75,0.32,Very Good,I,SI1,59.9,61,421,4.44,4.47,2.67,1315.625
76,1.08,Ideal,D,SI1,61.3,56,6203,6.63,6.72,4.09,5743.518519
77,0.36,Ideal,E,SI1,62.4,55,810,4.55,4.52,2.83,2250
78,0.32,Ideal,H,VS2,62,55,648,4.4,4.38,2.72,2025
79,2.01,Premium,J,SI1,60.3,56,11188,8.02,7.96,4.82,5566.169154
80,0.4,Ideal,D,VVS2,62.8,56,1111,4.68,4.72,2.95,2777.5
81,1.5,Premium,G,VS1,62.7,58,14105,7.25,7.3,4.56,9403.333333
82,0.73,Very Good,D,VVS1,61.8,61,4716,5.7,5.73,3.53,6460.273973
83,0.4,Ideal,D,VVS1,61.8,55,1754,4.72,4.76,2.93,4385
84,1.01,Ideal,G,VS1,62.1,54,7262,6.41,6.43,3.99,7190.09901
85,0.4,Ideal,I,VS1,60.9,56,826,4.76,4.8,2.91,2065
86,0.31,Premium,G,VVS1,62.2,59,816,4.3,4.32,2.68,2632.258065
87,0.45,Ideal,E,SI2,61.5,55,706,4.92,4.97,3.04,1568.888889
88,1.53,Very Good,H,SI1,63.1,56,7862,7.32,7.27,4.6,5138.562092
89,1.01,Premium,G,SI1,62.3,60,4395,6.31,6.25,3.91,4351.485149
90,0.34,Ideal,H,IF,60.8,56,988,4.56,4.55,2.77,2905.882353
91,0.32,Ideal,D,SI2,61.4,56,612,4.46,4.43,2.73,1912.5
92,1.23,Very Good,I,SI1,60.5,58,5763,6.9,6.94,4.19,4685.365854
93,2,Good,J,SI1,64.1,58,9193,7.85,7.79,5.01,4596.5
94,0.72,Ideal,H,VS2,61.7,56,3122,5.74,5.77,3.56,4336.111111
95,1.03,Very Good,G,VS2,62.1,57,6036,6.41,6.48,4,5860.194175
96,0.41,Ideal,D,SI1,62.7,56,791,4.73,4.78,2.98,1929.268293
97,1.51,Premium,G,SI1,61.6,59,10739,7.32,7.3,4.5,7111.92053
98,0.93,Good,D,SI2,64.5,58,3839,6.11,6.14,3.95,4127.956989
99,1.15,Ideal,D,VS2,58.5,57,8114,6.96,6.93,4.06,7055.652174
100,0.51,Very Good,F,VS2,62.9,57,1569,5.09,5.11,3.21,3076.470588
101,1.5,Ideal,H,VS2,62.2,57,10886,7.33,7.27,4.54,7257.333333
102,0.3,Premium,D,SI2,62.4,58,447,4.28,4.31,2.68,1490
103,0.54,Very Good,F,SI1,63.3,56,1389,5.24,5.21,3.31,2572.222222
104,1.05,Premium,E,SI1,62.5,59,5951,6.5,6.43,4.04,5667.619048
105,1.5,Premium,J,VVS2,62.8,62,7983,7.25,7.22,4.54,5322
106,0.59,Very Good,F,SI1,63.1,57,2124,5.39,5.36,3.39,3600
107,1.03,Good,H,SI1,59.3,56,4705,6.57,6.66,3.92,4567.961165
108,1.7,Very Good,J,VVS1,62.9,60,10808,7.56,7.61,4.77,6357.647059
109,1.52,Good,E,SI1,63.5,58,11075,7.29,7.36,4.65,7286.184211
110,0.7,Premium,D,VS1,61.6,61,3001,5.66,5.61,3.47,4287.142857
111,0.63,Good,J,SI1,59.9,64,1134,5.63,5.58,3.36,1800
112,1.03,Premium,H,SI2,62.3,59,4153,6.46,6.42,4.01,4032.038835
113,1,Premium,G,VVS2,62.5,60,6702,6.43,6.34,3.99,6702
114,0.6,Ideal,D,SI1,61.4,55,2263,5.45,5.47,3.35,3771.666667
115,0.32,Premium,G,SI1,61.6,58,612,4.4,4.36,2.7,1912.5
116,0.42,Ideal,H,SI1,62.2,57,700,4.78,4.8,2.98,1666.666667
117,1.67,Ideal,H,VS2,62.6,56,13063,7.57,7.55,4.73,7822.155689
118,0.9,Good,H,VS2,63.6,61,3701,6.03,5.97,3.8,4112.222222
119,0.42,Ideal,G,VVS1,60,57,1179,4.84,4.86,2.91,2807.142857
120,1.51,Good,G,I1,64,59,3497,7.29,7.17,4.63,2315.89404
121,0.32,Ideal,D,SI2,62.1,55,449,4.38,4.4,2.73,1403.125
122,1.01,Fair,H,VS2,65.2,56,3733,6.23,6.19,4.05,3696.039604
123,0.4,Very Good,J,VS1,62.1,57,606,4.69,4.72,2.92,1515
124,0.3,Good,J,VS2,63.4,57,368,4.22,4.26,2.69,1226.666667
125,0.4,Ideal,H,SI2,62.6,55,540,4.7,4.72,2.95,1350
126,0.3,Premium,F,VVS2,61.5,58,737,4.29,4.31,2.64,2456.666667
127,1.58,Ideal,E,VS1,62.6,56,18057,7.44,7.41,4.65,11428.48101
128,1.2,Very Good,G,SI1,63.5,56,6666,6.77,6.7,4.28,5555
129,0.41,Ideal,D,SI1,60.3,57,1015,4.86,4.82,2.92,2475.609756
130,0.23,Very Good,D,VVS1,61.3,61,492,3.94,3.99,2.43,2139.130435
131,1.01,Good,E,SI1,64.1,62,4480,6.26,6.19,3.99,4435.643564
132,1.32,Ideal,G,VS1,61.7,56,11079,7.03,7.11,4.36,8393.181818
133,0.41,Ideal,H,VVS1,61.4,56,1043,4.77,4.8,2.94,2543.902439
134,0.41,Ideal,F,VVS1,61.9,56,1295,4.77,4.79,2.96,3158.536585
135,0.9,Premium,E,SI1,62.2,59,4259,6.21,6.16,3.88,4732.222222
136,0.39,Very Good,F,VS2,58.8,59,821,4.8,4.83,2.83,2105.128205
137,0.23,Very Good,E,VS2,62.5,59,373,3.91,3.96,2.46,1621.73913
138,0.4,Very Good,I,VVS1,63.5,57,1080,4.68,4.65,2.96,2700
139,0.53,Ideal,E,SI1,62.1,53,1408,5.2,5.23,3.24,2656.603774
140,2.01,Premium,I,VS1,62.9,59,18206,8.03,7.94,5.02,9057.711443
141,0.58,Premium,F,SI2,63,56,1226,5.34,5.26,3.34,2113.793103
142,0.24,Very Good,E,VVS1,61.2,55,485,4.03,4.08,2.48,2020.833333
143,0.75,Very Good,F,SI2,60.5,57,2274,5.88,5.95,3.58,3032
144,0.3,Ideal,I,VS1,61,56,473,4.35,4.37,2.66,1576.666667
145,0.53,Ideal,F,VVS1,61.8,57,2830,5.16,5.19,3.2,5339.622642
146,0.33,Ideal,G,VS2,61.2,55,579,4.46,4.52,2.75,1754.545455
147,0.31,Good,D,SI1,63.4,55,571,4.28,4.3,2.72,1841.935484
148,1.07,Ideal,E,SI1,61.4,55,6561,6.57,6.62,4.05,6131.775701
149,0.3,Good,H,SI1,63.4,58,421,4.21,4.24,2.68,1403.333333
150,0.4,Ideal,H,VS2,61.4,55,725,4.76,4.78,2.93,1812.5
151,0.3,Very Good,H,VVS1,62.6,56,638,4.25,4.28,2.67,2126.666667
152,0.3,Ideal,F,IF,61.8,58,886,4.27,4.3,2.65,2953.333333
153,0.96,Very Good,E,VS2,58.7,58,5997,6.47,6.51,3.81,6246.875
154,0.7,Premium,H,VS1,60.5,58,2364,5.77,5.73,3.48,3377.142857
155,0.24,Very Good,D,SI1,63.1,55,475,3.95,4.01,2.51,1979.166667
156,0.71,Ideal,F,SI1,61.3,57,2699,5.72,5.79,3.53,3801.408451
157,0.7,Very Good,E,VS2,62.8,57,2553,5.66,5.68,3.56,3647.142857
158,0.7,Ideal,E,SI1,60.2,57,2575,5.78,5.82,3.49,3678.571429
159,0.58,Ideal,E,VS1,62.9,54,2192,5.34,5.31,3.35,3779.310345
160,0.7,Premium,D,SI1,60.2,60,2822,5.82,5.75,3.48,4031.428571
161,2.39,Ideal,I,VS2,62.2,55,17955,8.58,8.56,5.33,7512.552301
162,1.02,Very Good,E,SI2,62.9,56,4398,6.36,6.43,4.02,4311.764706
163,0.78,Very Good,E,SI2,60,63,2512,5.99,5.95,3.58,3220.512821
164,1.72,Very Good,F,SI1,63.2,61,13622,7.62,7.57,4.8,7919.767442
165,0.52,Premium,G,SI1,59.6,62,1338,5.23,5.18,3.1,2573.076923
166,1.24,Ideal,J,VS2,61.8,58,5361,6.88,6.84,4.24,4323.387097
167,1.29,Ideal,I,VS2,62.7,57,6509,6.97,6.91,4.35,5045.736434
168,2,Premium,I,VS2,61.8,56,17716,8.11,8.04,4.99,8858
169,1.07,Premium,E,SI2,62.9,59,5033,6.55,6.46,4.09,4703.738318
170,1.2,Premium,I,VS2,62.6,61,5645,6.76,6.68,4.21,4704.166667
171,0.5,Ideal,G,VS2,61.7,54,1449,5.14,5.16,3.18,2898
172,2.31,Very Good,J,VS2,59.7,60,14830,8.53,8.59,5.11,6419.91342
173,1,Good,J,SI2,62.7,58,3234,6.28,6.32,3.95,3234
174,0.53,Ideal,D,VS2,61.2,57,1857,5.2,5.26,3.2,3503.773585
175,0.51,Ideal,E,VS2,62,54,1662,5.13,5.1,3.17,3258.823529
176,0.3,Ideal,F,IF,62.4,56,886,4.26,4.3,2.67,2953.333333
177,0.59,Very Good,F,SI2,63.7,57,1265,5.31,5.36,3.4,2144.067797
178,0.3,Premium,D,SI1,62.7,60,709,4.26,4.23,2.66,2363.333333
179,0.9,Very Good,G,VS2,63.8,58,4400,6.08,6.12,3.89,4888.888889
180,0.53,Ideal,F,VS2,61.5,55,1753,5.27,5.2,3.22,3307.54717
181,1.5,Very Good,E,SI1,61.4,59,11533,7.24,7.41,4.5,7688.666667
182,1.01,Very Good,H,VVS1,60.6,56,6733,6.5,6.53,3.95,6666.336634
183,1.3,Very Good,H,VS1,61.9,56,7747,6.97,7.05,4.34,5959.230769
184,0.56,Very Good,D,SI1,62.5,58,1578,5.23,5.27,3.28,2817.857143
185,1.29,Very Good,E,VS1,61.8,57,10780,6.99,6.93,4.3,8356.589147
186,1.01,Very Good,H,VS1,64,54,5305,6.3,6.38,4.06,5252.475248
187,0.32,Ideal,G,VVS1,62.3,56,796,4.38,4.41,2.73,2487.5
188,0.56,Ideal,I,VVS1,62,57,1580,5.29,5.33,3.29,2821.428571
189,0.91,Premium,H,VVS1,62.5,59,5032,6.16,6.19,3.86,5529.67033
190,0.97,Very Good,F,SI2,59.9,59,4063,6.38,6.45,3.84,4188.659794
191,1.02,Very Good,E,SI2,58.7,63,4414,6.61,6.55,3.86,4327.45098
192,0.32,Premium,E,SI1,60.4,61,672,4.42,4.39,2.66,2100
193,0.47,Ideal,D,VVS1,61.9,54,2378,4.98,5,3.09,5059.574468
194,1,Ideal,G,VVS2,62.8,57,7979,6.37,6.43,4.02,7979
195,0.79,Very Good,J,VS2,60.8,56,2300,5.98,6.02,3.65,2911.392405
196,0.55,Very Good,F,SI1,63.1,56,1368,5.22,5.24,3.3,2487.272727
197,1.6,Ideal,H,SI2,62.1,56,9444,7.51,7.43,4.64,5902.5
198,0.91,Very Good,F,VS2,62.1,58,4917,6.19,6.24,3.86,5403.296703
199,1,Good,D,VS2,60.8,61,6189,6.33,6.4,3.87,6189
200,0.9,Good,E,SI2,63.2,57,3401,6.06,6.15,3.86,3778.888889
201,0.76,Ideal,F,SI1,60.1,57,2607,5.95,5.99,3.59,3430.263158
202,1.04,Good,J,SI1,64.2,58,3407,6.42,6.34,4.1,3275.961538
203,0.88,Very Good,E,SI2,59.1,58,3150,6.22,6.3,3.7,3579.545455
204,1,Very Good,I,SI1,63.3,54,3640,6.39,6.34,4.03,3640
205,1.16,Ideal,G,VS1,61.5,55,9248,6.75,6.81,4.17,7972.413793
206,0.7,Very Good,F,VVS1,59.3,62,3270,5.74,5.77,3.41,4671.428571
207,0.92,Good,F,SI2,64.2,58,3340,6.11,6.14,3.93,3630.434783
208,1,Premium,F,SI1,62.8,61,4022,6.37,6.25,3.96,4022
209,0.3,Ideal,I,VVS2,62.5,53.6,532,4.29,4.33,2.69,1773.333333
210,1,Good,F,VS2,63.7,59,6037,6.32,6.27,4.01,6037
211,0.47,Premium,G,SI1,58.8,58,1086,5.11,5.06,2.99,2310.638298
212,0.79,Good,G,SI1,63.6,57,2726,5.86,5.84,3.72,3450.632911
213,0.71,Good,I,VS1,59.1,63.4,2239,5.76,5.81,3.42,3153.521127
214,0.3,Ideal,D,VS1,61,57,761,4.3,4.33,2.63,2536.666667
215,0.32,Premium,G,VS1,62.1,56,828,4.43,4.4,2.74,2587.5
216,1.29,Ideal,F,SI2,60.7,58,6762,7,7.07,4.27,5241.860465
217,1.01,Good,F,VS2,61.7,58,6288,6.3,6.34,3.9,6225.742574
218,1.14,Ideal,G,VS1,61.7,56,9090,6.67,6.71,4.13,7973.684211
219,0.77,Good,F,SI1,64.2,52,2789,5.81,5.77,3.72,3622.077922
220,1.1,Very Good,D,SI2,61.6,57,5226,6.61,6.67,4.09,4750.909091
221,0.33,Ideal,E,VS2,60.8,57,928,4.47,4.45,2.71,2812.121212
222,0.3,Ideal,G,IF,62.1,54,863,4.3,4.33,2.68,2876.666667
223,0.33,Ideal,G,IF,61,56,925,4.48,4.51,2.74,2803.030303
224,1.53,Ideal,I,SI2,61.4,58,8021,7.4,7.42,4.55,5242.48366
225,2.03,Ideal,J,VS2,62.1,57,13880,8.15,8.08,5.04,6837.438424
226,1.01,Ideal,E,SI1,62.1,57,5372,6.4,6.45,3.99,5318.811881
227,0.36,Premium,E,VS2,61.3,60,1013,4.59,4.55,2.8,2813.888889
228,1.01,Very Good,G,VS1,63.2,61,6529,6.35,6.33,4.01,6464.356436
229,0.53,Good,E,SI1,63.6,56,1224,5.19,5.1,3.27,2309.433962
230,0.54,Ideal,F,VS2,60.3,55,1662,5.26,5.32,3.19,3077.777778
231,0.73,Very Good,I,VVS2,62.3,58,2565,5.75,5.78,3.59,3513.69863
232,1.14,Ideal,E,VVS2,61.6,57,11206,6.68,6.73,4.13,9829.824561
233,0.7,Very Good,G,VS1,62.8,58,2613,5.62,5.68,3.55,3732.857143
234,1.18,Ideal,E,I1,61.6,56,4229,6.82,6.79,4.19,3583.898305
235,0.37,Very Good,E,VS2,61.1,57,811,4.63,4.66,2.84,2191.891892
236,1.52,Premium,E,VS1,60.6,58,16779,7.44,7.38,4.49,11038.81579
237,1.7,Premium,I,VS2,61.2,59,11360,7.62,7.55,4.64,6682.352941
238,0.31,Ideal,D,VVS2,61.1,56,1034,4.38,4.39,2.68,3335.483871
239,0.3,Very Good,G,VS1,62,60,605,4.23,4.28,2.64,2016.666667
240,0.52,Ideal,D,VVS2,59.9,57,2217,5.21,5.28,3.14,4263.461538
241,2.22,Good,I,SI2,62.7,61.2,14285,8.23,8.31,5.19,6434.684685
242,0.7,Premium,J,SI1,62.8,59,1844,5.65,5.6,3.53,2634.285714
243,1.2,Very Good,I,VVS2,61.7,63,5107,6.72,6.7,4.13,4255.833333
244,0.51,Very Good,G,VS2,61.2,55,1397,5.13,5.16,3.15,2739.215686
245,0.81,Very Good,H,SI2,61.3,59,2797,5.94,6.01,3.66,3453.08642
246,1.4,Very Good,I,SI1,61.3,59,7644,7.19,7.23,4.42,5460
247,1.29,Ideal,H,SI1,62.6,56,6424,6.96,6.93,4.35,4979.844961
248,0.3,Ideal,E,VS2,61.8,56,658,4.31,4.33,2.67,2193.333333
249,0.51,Good,D,SI1,63.6,57,1574,5.08,5.05,3.22,3086.27451
250,1.12,Ideal,F,VS1,62.1,54,9030,6.66,6.73,4.16,8062.5
251,0.71,Ideal,E,VS1,61.4,57,3435,5.81,5.78,3.56,4838.028169
252,2.15,Premium,H,SI2,62.8,58,17221,8.22,8.17,5.15,8009.767442
253,0.3,Very Good,G,VVS2,59.7,63,638,4.34,4.37,2.6,2126.666667
254,0.77,Ideal,J,SI1,62,57,2257,5.84,5.87,3.63,2931.168831
255,0.3,Ideal,D,VS2,61.9,57,911,4.33,4.29,2.67,3036.666667
256,1.22,Ideal,H,VS1,61.9,54,8411,6.88,6.9,4.26,6894.262295
257,0.82,Ideal,E,SI1,61.8,53,3979,6.02,6.05,3.73,4852.439024
258,0.36,Ideal,D,SI1,61.3,56,636,4.61,4.65,2.84,1766.666667
259,0.21,Premium,E,VS2,59.6,56,386,3.93,3.89,2.33,1838.095238
260,0.71,Ideal,E,VS1,62.4,54,2923,5.71,5.74,3.57,4116.901408
261,0.27,Very Good,E,VVS2,59.4,64,567,4.16,4.19,2.48,2100
262,1.6,Fair,F,SI2,65,56,6272,7.35,7.26,4.8,3920
263,1.11,Premium,H,VS1,62.3,57,4687,6.67,6.62,4.14,4222.522523
264,0.91,Premium,D,SI1,59,61,4663,6.35,6.29,3.73,5124.175824
265,0.81,Good,E,I1,64.1,59,2608,5.89,5.85,3.76,3219.753086
266,0.25,Premium,E,VVS1,60.7,60,576,4.09,4.11,2.49,2304
267,0.3,Very Good,E,VVS2,60.7,55,814,4.35,4.36,2.65,2713.333333
268,1.56,Very Good,H,SI2,59.9,59,8317,7.47,7.52,4.49,5331.410256
269,0.57,Ideal,I,VS1,61,56,1665,5.37,5.41,3.29,2921.052632
270,1.07,Ideal,E,SI2,62.5,57,6060,6.56,6.5,4.08,5663.551402
271,0.95,Ideal,J,VVS2,60.6,57,3558,6.4,6.34,3.86,3745.263158
272,1.06,Ideal,G,SI1,62,56,5159,6.52,6.55,4.05,4866.981132
273,0.96,Ideal,H,SI2,62.1,57,4213,6.3,6.35,3.93,4388.541667
274,1.16,Ideal,G,VVS1,61.9,55,9781,6.75,6.78,4.19,8431.896552
275,0.3,Very Good,H,VVS1,61.1,61,638,4.27,4.3,2.62,2126.666667
276,0.36,Premium,H,VS1,61.6,59,810,4.57,4.52,2.8,2250
277,0.53,Ideal,I,SI1,62.8,57,1052,5.15,5.2,3.25,1984.90566
278,1.01,Very Good,H,VS2,61,63,4959,6.38,6.41,3.9,4909.90099
279,0.31,Premium,I,SI1,59.6,58,537,4.44,4.39,2.63,1732.258065
280,1.12,Premium,F,VS2,62.8,56,7437,6.67,6.61,4.17,6640.178571
281,0.34,Very Good,F,SI2,63.5,56,574,4.48,4.44,2.83,1688.235294
282,0.5,Ideal,G,VVS1,61.9,58,1883,5.06,5.09,3.14,3766
283,0.35,Premium,I,VS1,61.8,58,709,4.53,4.5,2.79,2025.714286
284,0.33,Ideal,G,VVS1,60.4,58,802,4.5,4.51,2.72,2430.30303
285,0.7,Ideal,F,VS2,61.3,57,3008,5.7,5.76,3.51,4297.142857
286,0.52,Ideal,E,VS2,61.4,54,1694,5.23,5.2,3.2,3257.692308
287,1.04,Very Good,F,IF,59.8,56,10515,6.64,6.71,3.99,10110.57692
288,0.71,Premium,D,VS1,61.6,58,3479,5.78,5.72,3.54,4900
289,0.3,Premium,G,IF,62.9,58,956,4.25,4.21,2.66,3186.666667
290,2.28,Good,J,SI2,63.6,57,9068,8.37,8.32,5.31,3977.192982
291,0.55,Premium,G,VS2,60.3,62,1556,5.33,5.29,3.2,2829.090909
292,0.35,Very Good,H,SI1,63.3,54,647,4.53,4.51,2.86,1848.571429
293,1.22,Ideal,I,SI1,62.3,58,6398,6.8,6.82,4.24,5244.262295
294,1.06,Premium,G,SI2,61.1,62,4238,6.61,6.55,4.02,3998.113208
295,0.58,Ideal,G,SI1,61.4,55.8,1442,5.34,5.38,3.29,2486.206897
296,0.72,Good,I,VS1,61.3,63,2451,5.67,5.75,3.5,3404.166667
297,0.51,Ideal,G,VS1,61.7,55,1781,5.17,5.14,3.18,3492.156863
298,1.27,Ideal,F,VS1,61.6,55,11973,6.97,7.03,4.31,9427.559055
299,0.36,Ideal,G,IF,61.9,55,1029,4.56,4.59,2.83,2858.333333
300,1.2,Ideal,J,VS2,61.6,54,4099,6.88,6.82,4.22,3415.833333
301,0.7,Good,I,I1,63.9,62,1111,5.62,5.57,3.58,1587.142857
302,1.23,Ideal,I,VVS2,62.5,57,7256,6.81,6.86,4.27,5899.186992
303,0.71,Ideal,I,VS1,61.6,56,2965,5.71,5.75,3.53,4176.056338
304,1,Very Good,I,VS1,63.3,55,4516,6.39,6.34,4.03,4516
305,0.36,Ideal,D,SI2,62,56,537,4.56,4.6,2.84,1491.666667
306,0.5,Very Good,G,SI1,62.1,59,1237,5.09,5.12,3.17,2474
307,1,Premium,G,VVS1,61.3,62,7644,6.37,6.35,3.9,7644
308,0.32,Ideal,H,VS1,61.4,55,580,4.43,4.49,2.74,1812.5
309,1.21,Premium,G,VS1,62.7,58,8774,6.85,6.76,4.27,7251.239669
310,0.77,Very Good,D,VS2,61.2,59,3489,5.86,5.91,3.6,4531.168831
311,0.76,Very Good,H,SI1,61.4,57,2557,5.89,5.94,3.63,3364.473684
312,0.44,Very Good,J,VS1,63.1,57,891,4.87,4.83,3.06,2025
313,0.72,Ideal,H,VS2,62.8,57,2376,5.74,5.7,3.59,3300
314,0.41,Ideal,F,VVS1,61.2,57,1205,4.79,4.85,2.95,2939.02439
315,0.5,Ideal,F,VS2,61.6,53,1654,5.13,5.09,3.15,3308
316,1.14,Premium,G,VS2,61.9,58,6144,6.68,6.72,4.15,5389.473684
317,0.43,Very Good,F,SI1,62.9,60,792,4.77,4.8,3.01,1841.860465
318,1.52,Good,I,SI1,64.1,57,8852,7.26,7.21,4.64,5823.684211
319,0.5,Premium,E,VS2,61.8,58,1746,5.11,5.05,3.14,3492
320,0.57,Ideal,E,SI1,62.1,56,1728,5.33,5.3,3.3,3031.578947
321,0.91,Very Good,E,SI2,63.2,56,4668,6.08,6.14,3.86,5129.67033
322,1.04,Premium,F,SI2,62.6,58,4507,6.49,6.44,4.05,4333.653846
323,1.14,Premium,I,VS1,62.3,59,5291,6.69,6.64,4.15,4641.22807
324,0.58,Very Good,G,SI1,59.3,59,1408,5.46,5.51,3.25,2427.586207
325,0.43,Premium,D,SI1,61,58,993,4.88,4.83,2.96,2309.302326
326,1.7,Ideal,I,SI1,61.8,55,10520,7.62,7.57,4.69,6188.235294
